player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
tmdgus982,2.29,237.65,746.38,5.41
tmtmaster4life,2.82,295.71,796.47,11.43
ThisisDragon,1.55,171.43,1167.28,8.33
sprEEEzy,3.67,328.79,1303.68,17.79
B_Raven,1.09,127.69,1143.48,3.77
SHACO-_-,3.29,284.3,1158.2,22.22
Gusang_,1.36,150.46,1107.01,0
SangHyuns,1.26,148.91,661.84,2.13
Demon_ni2,1.75,200.42,1138.88,4.23
boysfighter,1.3,177.84,1632.62,4.97
OINK_OINK_OINK,1.16,144.55,551.52,0.97
donttouth,0.81,104.02,1027.54,2.33
yukatus,0.67,120.3,981.37,0
Quickes,2.52,264.05,1078.72,8.7
3tButz,2.97,340.39,1232.03,5.33
Stylish_Noob,3.9,393.06,1033,10.4
PeakN_,0.83,91.52,1144.4,0
STar-man,1.16,128.39,734.74,0.76
miggeLz,4.72,459.4,1072.68,13.33
realfriend_kyu,1.73,196.7,1564.36,3.7
firehit,0.77,103.4,711.65,0
DayK,1.34,146.44,970.35,6.56
HuYa-WWW-CNXZ-TV,3.67,354.13,781.89,8.51
LanCe10,2.29,242.97,1300.6,6.67
Jessuu,1.13,145.3,864.95,2.67
JiangHJ,8.25,505.5,1637.31,33.33
enchant_,1.75,187.33,1231.07,11.11
glmjohn,2.78,278.92,1209.76,6.9
iNsaDoL,2.12,232.25,912.81,3.7
mar-bling,1.46,183.69,952.53,3.7
boboina,3.81,336.72,1154.56,22.67
ikillme,1.56,185.41,614.62,5.49
Fondue,3.91,366.16,1127.78,15.38
